local_path_x,local_path_y,global_path_x,global_path_y,actual_path_taken_x,actual_path_taken_y,error_local_path_to_global_path,error_local_path_to_actual_robot_path,error_between_global_path_&_actual_path,goal_x,goal_y
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05498,-1.18628,0.0489697744,0,0.0489697744,,
1.05498,-1.18628,1.025,-1.225,1.05477,-1.18807,0.0489697744,0.0018022763,0.0490029285,,
1.05498,-1.18628,1.025,-1.225,1.05477,-1.18807,0.0489697744,0.0018022763,0.0490029285,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05477,-1.18807,0.047434985,0,0.047434985,,
1.05477,-1.18807,1.025,-1.225,1.05454,-1.18984,0.047434985,0.0017848809,0.0474685538,,
1.05477,-1.18807,1.025,-1.225,1.05454,-1.18984,0.047434985,0.0017848809,0.0474685538,,
1.05477,-1.18807,1.025,-1.225,1.05454,-1.18984,0.047434985,0.0017848809,0.0474685538,,
1.05454,-1.18984,1.025,-1.225,1.05454,-1.18984,0.0459220775,0,0.0459220775,,
1.05454,-1.18984,1.025,-1.225,1.05454,-1.18984,0.0459220775,0,0.0459220775,,
1.05454,-1.18984,1.025,-1.225,1.05454,-1.18984,0.0459220775,0,0.0459220775,,
1.05454,-1.18984,1.025,-1.225,1.05454,-1.18984,0.0459220775,0,0.0459220775,,
1.05454,-1.18984,1.025,-1.225,1.05433,-1.19162,0.0459220775,0.0017923448,0.0459570419,,
1.05454,-1.18984,1.025,-1.225,1.05433,-1.19162,0.0459220775,0.0017923448,0.0459570419,,
